snapshot_date,project_id,dataset_name,table_name,table_type,storage_last_modified_time,total_logical_tb,project_logical_tb,percentage_of_project_logical_tb,billing_model,last_queried,storage_last_modified_date,cost_per_month,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240223,BASE TABLE,2024-02-23 03:55:35.294000 UTC, 0.00000000883301 , 0.00367398529670 , 0.00024042046525 ,LOGICAL,20/10/2025,23/02/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240213,BASE TABLE,2024-02-13 04:01:18.784000 UTC, 0.00000000883119 , 0.00367398529670 , 0.00024037095527 ,LOGICAL,20/10/2025,13/02/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240216,BASE TABLE,2024-02-16 04:01:17.656000 UTC, 0.00000000883119 , 0.00367398529670 , 0.00024037095527 ,LOGICAL,20/10/2025,16/02/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240218,BASE TABLE,2024-02-18 04:01:19.047000 UTC, 0.00000000883119 , 0.00367398529670 , 0.00024037095527 ,LOGICAL,20/10/2025,18/02/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240221,BASE TABLE,2024-02-21 04:01:15.847000 UTC, 0.00000000883119 , 0.00367398529670 , 0.00024037095527 ,LOGICAL,20/10/2025,21/02/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240224,BASE TABLE,2024-02-24 04:01:15.635000 UTC, 0.00000000883119 , 0.00367398529670 , 0.00024037095527 ,LOGICAL,20/10/2025,24/02/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240214,BASE TABLE,2024-02-14 03:02:24.493000 UTC, 0.00000000882937 , 0.00367398529670 , 0.00024032144529 ,LOGICAL,20/10/2025,14/02/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240225,BASE TABLE,2024-02-25 03:02:19.666000 UTC, 0.00000000882937 , 0.00367398529670 , 0.00024032144529 ,LOGICAL,20/10/2025,25/02/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20231201,BASE TABLE,2023-12-01 10:20:27.257000 UTC, 0.00000000882756 , 0.00367398529670 , 0.00024027193531 ,LOGICAL,20/10/2025,01/12/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240215,BASE TABLE,2024-02-15 04:01:20.146000 UTC, 0.00000000882574 , 0.00367398529670 , 0.00024022242533 ,LOGICAL,20/10/2025,15/02/2024, $0.00 ,
