snapshot date,project id,dataset name,table name,table type,storage last modified time,total logical tb,project logical tb,percentage of project logical tb,billing model,last queried,table creation date,statement type,user email,user type
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,operations_20231017,BASE TABLE,2023-10-17 03:12:31.844000 UTC, 0.0000000 , 0.010443 ,0.01%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231017,BASE TABLE,2023-10-17 04:01:13.176000 UTC, 0.0000001 , 0.010443 ,0.09%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,operations_20231017,BASE TABLE,2023-10-17 05:24:32.009000 UTC, 0.0000000 , 0.000076 ,0.42%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231017,BASE TABLE,2023-10-17 05:24:37.004000 UTC, 0.0000000 , 0.000076 ,2.01%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_account_rw,plusnet_test_billing_account_milestone,BASE TABLE,2023-10-17 07:58:51.624000 UTC, 0.0000000 , 29.322808 ,0.00%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231017,BASE TABLE,2023-10-17 10:01:34.254000 UTC, 0.0000002 , 0.000901 ,2.08%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231017,BASE TABLE,2023-10-17 11:13:51.111000 UTC, 0.0000001 , 0.003553 ,0.16%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231017,BASE TABLE,2023-10-17 11:18:14.805000 UTC, 0.0000002 , 0.003553 ,0.64%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20231017,BASE TABLE,2023-10-17 11:18:59.038000 UTC, 0.0000000 , 0.003553 ,0.01%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231017,BASE TABLE,2023-10-17 14:11:47.319000 UTC, 0.0000000 , 0.010443 ,0.02%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,operations_20231017,BASE TABLE,2023-10-17 23:01:18.247000 UTC, 0.0000001 , 0.000901 ,0.62%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231017,BASE TABLE,2023-10-17 23:03:26.417000 UTC, 0.0000001 , 0.000901 ,0.96%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,operations_20231018,BASE TABLE,2023-10-18 01:01:13.825000 UTC, 0.0000000 , 0.000901 ,0.05%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231018,BASE TABLE,2023-10-18 03:01:19.540000 UTC, 0.0000002 , 0.000076 ,20.85%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231018,BASE TABLE,2023-10-18 03:01:24.548000 UTC, 0.0000000 , 0.000076 ,3.73%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20231018,BASE TABLE,2023-10-18 03:01:52.192000 UTC, 0.0000000 , 0.003553 ,0.01%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,operations_20231018,BASE TABLE,2023-10-18 03:01:54.869000 UTC, 0.0000000 , 0.000076 ,0.10%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231018,BASE TABLE,2023-10-18 04:01:18.398000 UTC, 0.0000000 , 0.003553 ,0.09%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,operations_20231018,BASE TABLE,2023-10-18 04:01:19.118000 UTC, 0.0000000 , 0.010443 ,0.00%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231018,BASE TABLE,2023-10-18 04:01:27.061000 UTC, 0.0000000 , 0.010443 ,0.01%,LOGICAL,08/09/2025,,,,
